FIPS_COUNTY,State,state,climate,POP,AGE_GR0,AGE_GR1,AGE_GR2,AGE_GR3,AGE_GR4,MALE,AFFGEOID,HISPANIC,ASIAN_ALL,BLACK_NH,BLACK_ALL,WHITE_NH,WHITE_ALL,POVERTY,EDU,POP_DENSITY,ATKINSON,CORRRATIO,cases_WAVE1,deaths_WAVE1,cases_rate_WAVE1,deaths_rate_WAVE1,cases_WAVE2,deaths_WAVE2,cases_rate_WAVE2,deaths_rate_WAVE2,cases_WAVE3,deaths_WAVE3,cases_rate_WAVE3,deaths_rate_WAVE3
1001,1,Alabama,Southeast,55200,1.237554348,0.32201087,0.265905797,0.131068841,0.014764493,0.486847826,0500000US01001,0.027681159,0.010289855,0.189764493,0.191394928,0.750217391,0.768786232,0.153784351,0.886885863,35.85341899,0.54788339,0.084861588,368,6,666.6666667,10.86956522,1074,17,1945.652174,30.79710145,2205,21,3994.565217,38.04347826
1003,1,Alabama,Southeast,208107,1.243922598,0.285876977,0.276881604,0.176428472,0.018975815,0.486230641,0500000US01003,0.044943226,0.00807277,0.093841149,0.094970376,0.830188317,0.862661996,0.105660985,0.902645776,50.54150356,0.708586195,0.116208246,383,9,184.039941,4.324698352,4162,33,1999.932727,15.85722729,7011,104,3368.940016,49.97429207
1005,1,Alabama,Southeast,25782,1.233961679,0.327243814,0.262198433,0.163369793,0.016368009,0.531262121,0500000US01005,0.042898146,0.003723528,0.473159569,0.475758281,0.461484757,0.473818943,0.288633182,0.730314202,11.24798121,0.526887685,0.071282783,238,1,923.1246606,3.878675045,519,6,2013.032348,23.27205027,561,23,2175.9367,89.20952603
1007,1,Alabama,Southeast,22527,1.222932481,0.331202557,0.272961335,0.14356106,0.018955032,0.539441559,0500000US01007,0.024281973,0.001642473,0.220801705,0.222754916,0.745816132,0.76654681,0.139876881,0.832065906,13.973114,0.454083098,0.211485346,111,1,492.7420429,4.439117503,443,7,1966.529054,31.07382252,1023,34,4541.217206,150.9299951
1009,1,Alabama,Southeast,57645,1.250533437,0.297128979,0.268106514,0.162494579,0.015022986,0.493260474,0500000US01009,0.091265504,0.003434817,0.014224998,0.014953595,0.87140255,0.955052476,0.144003364,0.801625155,34.51581642,0.578442194,0.01482582,116,1,201.2316766,1.734755833,1171,10,2031.399081,17.34755833,2831,41,4911.093764,71.12498916
1011,1,Alabama,Southeast,10352,1.226526275,0.330853941,0.267484544,0.139200155,0.016904946,0.547044049,0500000US01011,0.004926584,0.005409583,0.76246136,0.76246136,0.215224111,0.219860896,0.31385609,0.752252252,6.41761955,0.294797353,0.104651564,307,9,2965.61051,86.93972179,244,5,2357.032457,48.29984544,196,6,1893.353941,57.95981453
1013,1,Alabama,Southeast,20025,1.242646692,0.294531835,0.262521848,0.162247191,0.027815231,0.467815231,0500000US01013,0.003345818,0.011535581,0.450786517,0.452184769,0.51855181,0.520049938,0.235449333,0.845838134,9.952770785,0.562686159,0.185518545,544,25,2716.604245,124.8439451,322,12,1607.990012,59.92509363,518,8,2586.766542,39.95006242
1015,1,Alabama,Southeast,115098,1.236589689,0.317016803,0.268353924,0.150619472,0.017810909,0.480590453,0500000US01015,0.036516708,0.009252984,0.205199048,0.205702966,0.724799736,0.743349146,0.185915468,0.840525684,73.348688,0.709488054,0.238265365,204,3,177.2402648,2.606474483,2363,33,2053.033067,28.67121931,5892,101,5119.115884,87.75130758
1017,1,Alabama,Southeast,33826,1.232543014,0.301217998,0.280582984,0.168716372,0.020753267,0.480606634,0500000US01017,0.022704429,0.011973038,0.39375037,0.39375037,0.557914031,0.575977059,0.166225882,0.813995926,21.89263808,0.520659429,0.079498924,475,26,1404.245255,76.86395081,558,14,1649.618637,41.3882812,1057,18,3124.815231,53.2135044
1019,1,Alabama,Southeast,25853,1.237032453,0.264147294,0.294201833,0.198893745,0.01852783,0.495880555,0500000US01019,0.015394732,0.002127413,0.049007852,0.049007852,0.917881871,0.928209492,0.150072546,0.802281369,18.0333283,0.467929921,0.012683723,53,5,205.0052218,19.34011527,352,7,1361.544115,27.07616137,860,11,3326.499826,42.54825359
1021,1,Alabama,Southeast,43930,1.245549738,0.318961985,0.260163897,0.143979058,0.013703619,0.493330298,0500000US01021,0.077760073,0.004325063,0.09360346,0.094422946,0.801388573,0.833120874,0.185714286,0.822038734,24.48066939,0.570127658,0.074706458,141,2,320.9651719,4.552697473,1053,11,2396.99522,25.0398361,1455,34,3312.087412,77.39585705
1023,1,Alabama,Southeast,13075,1.230516252,0.265086042,0.289101338,0.198011472,0.022562141,0.478240918,0500000US01023,0.005583174,0.000994264,0.426003824,0.427533461,0.563671128,0.56749522,0.222446602,0.814116151,5.526508604,0.464309918,0.297645877,176,11,1346.080306,84.13001912,150,1,1147.227533,7.648183556,144,8,1101.338432,61.18546845
1025,1,Alabama,Southeast,24387,1.240455981,0.290728667,0.275966704,0.170623693,0.019067536,0.473161931,0500000US01025,0.001968262,0.005043671,0.458153934,0.458153934,0.528765326,0.530405544,0.25405834,0.811796088,7.603131652,0.500229034,0.077055234,192,3,787.3047115,12.30163612,800,11,3280.436298,45.1059991,1162,10,4764.833723,41.00545373
1027,1,Alabama,Southeast,13378,1.233368216,0.278815967,0.282927194,0.179623262,0.018612648,0.483181343,0500000US01027,0.031021079,0.001345493,0.14733144,0.147779937,0.802810585,0.830168934,0.184432515,0.754981152,8.552331345,0.366959976,0.020074761,30,2,224.2487666,14.94991778,343,4,2563.910898,29.89983555,668,23,4993.272537,171.9240544
1029,1,Alabama,Southeast,14938,1.260008033,0.28718704,0.275271121,0.160061588,0.027580667,0.487414647,0500000US01029,0.024233498,0.00020083,0.026308743,0.026308743,0.926429241,0.941759272,0.185483321,0.773671613,10.29735391,0.414116059,0.017949922,22,1,147.275405,6.694336591,184,4,1231.757933,26.77734636,735,10,4920.337395,66.94336591
1031,1,Alabama,Southeast,51288,1.248420683,0.318320075,0.259300421,0.145628607,0.017664951,0.493565746,0500000US01031,0.069197473,0.012985494,0.170527219,0.172145531,0.706266573,0.758910466,0.150568294,0.861566224,29.16467291,0.593838479,0.100741746,294,1,573.2335049,1.949773826,793,6,1546.170644,11.69864296,2039,22,3975.588832,42.89502418
1033,1,Alabama,Southeast,54495,1.232168089,0.297201578,0.277163042,0.170400954,0.022313974,0.478484265,0500000US01033,0.024754565,0.004899532,0.157096981,0.158087898,0.786585925,0.794348105,0.162712304,0.844298359,35.49694998,0.602809572,0.08872681,272,5,499.1283604,9.175153684,1194,17,2191.0267,31.19552253,2568,34,4712.358932,62.39104505
1035,1,Alabama,Southeast,12514,1.250039955,0.259868947,0.279846572,0.191385648,0.024932076,0.48241969,0500000US01035,0.008390603,0.001438389,0.476346492,0.477145597,0.501358479,0.508949976,0.222276068,0.807527125,5.682995171,0.42682675,0.079949453,102,1,815.0871024,7.991050024,383,10,3060.572159,79.91050024,313,4,2501.198658,31.9642001
1037,1,Alabama,Southeast,10855,1.210594196,0.276186089,0.317181023,0.199631506,0.018516813,0.506771073,0500000US01037,0.004606172,0,0.342054353,0.342054353,0.652602487,0.657116536,0.139590509,0.796476306,6.438885282,0.487781606,0.337581303,46,1,423.7678489,9.212344542,89,2,819.8986642,18.42468908,316,3,2911.100875,27.63703363
1039,1,Alabama,Southeast,37351,1.243741801,0.279590908,0.278332575,0.181735429,0.023078365,0.486519772,0500000US01039,0.016170919,0.004256914,0.128242885,0.129206715,0.833873256,0.846670772,0.183184825,0.828655723,13.99370346,0.639948208,0.126103095,176,1,471.2055902,2.67730449,920,25,2463.120131,66.93261225,1587,12,4248.882225,32.12765388
1041,1,Alabama,Southeast,13865,1.243346556,0.292607285,0.27580238,0.160908763,0.022430581,0.4914533,0500000US01041,0.019834115,0.013559322,0.226974396,0.230652723,0.711792283,0.716768842,0.157235927,0.783875969,8.792273306,0.440118878,0.019059456,115,3,829.4266138,21.63721601,357,24,2574.828705,173.0977281,348,6,2509.917057,43.27443202
1043,1,Alabama,Southeast,82313,1.240423748,0.305237326,0.268062153,0.166462163,0.013375773,0.492753271,0500000US01043,0.043043019,0.004057682,0.011589907,0.012124452,0.921191063,0.952364754,0.158376123,0.81813256,43.25267563,0.759946613,0.033806079,281,1,341.3798549,1.214874929,1363,13,1655.874528,15.79337407,4517,53,5487.590053,64.38837122
1045,1,Alabama,Southeast,49255,1.247913917,0.329936047,0.253801645,0.14364024,0.017541366,0.492010963,0500000US01045,0.062328698,0.012851487,0.195127398,0.197929144,0.690386763,0.728636687,0.18385088,0.858246959,33.89312549,0.607900425,0.113824066,181,0,367.4753832,0,922,38,1871.891179,77.14952797,1851,21,3757.994112,42.63526546
1047,1,Alabama,Southeast,40029,1.266706638,0.291063979,0.268955008,0.154263159,0.013240401,0.460865872,0500000US01047,0.010292538,0.005595943,0.702465712,0.704739064,0.275400335,0.281221115,0.310884906,0.806954887,15.79103338,0.616253125,0.244591396,507,6,1266.581728,14.98913288,1108,19,2767.993205,47.46558745,962,11,2403.257638,27.48007694
1049,1,Alabama,Southeast,71200,1.257696629,0.306320225,0.261910112,0.148595506,0.014592697,0.495842697,0500000US01049,0.143539326,0.001966292,0.01375,0.014101124,0.806755618,0.856348315,0.220750552,0.741122901,35.37577983,0.684881852,0.018136198,326,5,457.8651685,7.02247191,1826,11,2564.606742,15.4494382,4137,35,5810.393258,49.15730337
1051,1,Alabama,Southeast,81212,1.233438408,0.339247894,0.26709107,0.130879673,0.014049648,0.48576565,0500000US01051,0.02889967,0.004826873,0.211151061,0.214278678,0.732293257,0.748953357,0.123391104,0.86380674,50.70144021,0.594315033,0.046563071,560,9,689.553268,11.08210609,1635,35,2013.249274,43.09707925,3162,34,3893.513274,41.86573413
1053,1,Alabama,Southeast,37328,1.242900772,0.322331762,0.259992499,0.155861552,0.017627518,0.510796185,0500000US01053,0.022449636,0.003616588,0.319117017,0.319331333,0.60222889,0.618704458,0.240467673,0.815443867,15.24764898,0.553413038,0.170560841,107,3,286.6480926,8.036862409,1297,19,3474.603515,50.90012859,962,11,2577.153879,29.4684955
1055,1,Alabama,Southeast,102939,1.241045668,0.304510438,0.272792625,0.164514907,0.018865542,0.482334198,0500000US01055,0.037692225,0.007179009,0.153644391,0.15749133,0.780792508,0.803485559,0.172589032,0.845169803,74.25054812,0.787223578,0.325316965,335,12,325.4354521,11.65738933,2471,28,2400.450752,27.2005751,5884,42,5716.006567,40.80086265
1057,1,Alabama,Southeast,16585,1.238046427,0.282845945,0.274404582,0.182333434,0.022188725,0.492613808,0500000US01057,0.017184203,0.006511908,0.112028942,0.119264396,0.846668677,0.849864335,0.20047997,0.824187079,10.20180135,0.478942882,0.089367683,48,0,289.4181489,0,267,6,1609.888453,36.17726862,956,12,5764.2448,72.35453723
1059,1,Alabama,Southeast,31542,1.257624754,0.324709911,0.245609029,0.143776552,0.017912624,0.494642065,0500000US01059,0.169076152,0.003772747,0.042419631,0.044004819,0.770813518,0.839103418,0.202351505,0.767682106,19.21135615,0.640130023,0.044809327,734,10,2327.055989,31.70376007,831,17,2634.582461,53.89639211,1413,9,4479.741297,28.53338406
1061,1,Alabama,Southeast,26491,1.248310747,0.282813031,0.27771696,0.177909479,0.016571666,0.48963799,0500000US01061,0.038767883,0.004114605,0.093163716,0.095466385,0.839341663,0.863349817,0.239981663,0.790783955,17.80431585,0.461840118,0.022534099,46,0,173.6438791,0,392,4,1479.747839,15.09946774,1033,12,3899.437545,45.29840323
