Time,POPDENSITY_CASE_Q_1,POPDENSITY_CASE_Q_2,POPDENSITY_CASE_Q_3,POPDENSITY_CASE_Q_4,POPDENSITY_CASE_Q_5,POPDENSITY_DEATH_Q_1,POPDENSITY_DEATH_Q_2,POPDENSITY_DEATH_Q_3,POPDENSITY_DEATH_Q_4,POPDENSITY_DEATH_Q_5,NH_WHITE_CASE_Q_1,NH_WHITE_CASE_Q_2,NH_WHITE_CASE_Q_3,NH_WHITE_CASE_Q_4,NH_WHITE_CASE_Q_5,NH_WHITE_DEATH_Q_1,NH_WHITE_DEATH_Q_2,NH_WHITE_DEATH_Q_3,NH_WHITE_DEATH_Q_4,NH_WHITE_DEATH_Q_5,BLACK_CASE_Q_1,BLACK_CASE_Q_2,BLACK_CASE_Q_3,BLACK_CASE_Q_4,BLACK_CASE_Q_5,BLACK_DEATH_Q_1,BLACK_DEATH_Q_2,BLACK_DEATH_Q_3,BLACK_DEATH_Q_4,BLACK_DEATH_Q_5,HISPANIC_CASE_Q_1,HISPANIC_CASE_Q_2,HISPANIC_CASE_Q_3,HISPANIC_CASE_Q_4,HISPANIC_CASE_Q_5,HISPANIC_DEATH_Q_1,HISPANIC_DEATH_Q_2,HISPANIC_DEATH_Q_3,HISPANIC_DEATH_Q_4,HISPANIC_DEATH_Q_5,ATKINSON_CASE_Q_1,ATKINSON_CASE_Q_2,ATKINSON_CASE_Q_3,ATKINSON_CASE_Q_4,ATKINSON_CASE_Q_5,ATKINSON_DEATH_Q_1,ATKINSON_DEATH_Q_2,ATKINSON_DEATH_Q_3,ATKINSON_DEATH_Q_4,ATKINSON_DEATH_Q_5,ETASQUARED_Q_1,ETASQUARED_Q_2,ETASQUARED_Q_3,ETASQUARED_Q_4,ETASQUARED_Q_5,ETASQUARED_Q_1,ETASQUARED_Q_2,ETASQUARED_Q_3,ETASQUARED_Q_4,ETASQUARED_Q_5
21,0,0,0,0,0.000412443,0,0,0,0,0,0,0.001167179,0,0,0,0,0,0,0,0,0,0,0.001808404,0,0,0,0,0,0,0,0,0,0,0.001296478,0,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0.002200192,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0.000412443,0,0,0,0,0,0.000688152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000970626,0,0,0,0,0,0,0,0,0,0.000641854,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0,0,0.000609891,0,0,0,0,0
25,0,0,0,0,0.000412443,0,0,0,0,0,0.000688152,0,0,0,0,0,0,0,0,0,0,0,0.001808404,0,0,0,0,0,0,0,0,0,0,0,0.000641854,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0.002200192,0,0,0,0,0,0,0
26,0,0,0,0,0.000824886,0,0,0,0,0,0.001376305,0,0,0,0,0,0,0,0,0,0,0,0,0.001568297,0,0,0,0,0,0,0,0,0,0,0.001283707,0,0,0,0,0,0,0,0,0,0.000841804,0,0,0,0,0,0,0,0,0.001155125,0.000609891,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0.000412443,0,0,0,0,0,0.000688152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000970626,0,0,0,0,0,0,0,0,0,0.000641854,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0,0,0.000609891,0,0,0,0,0
31,0,0,0,0,0.000412443,0,0,0,0,0,0.000688152,0,0,0,0,0,0,0,0,0,0,0,0.001808404,0,0,0,0,0,0,0,0,0,0,0,0.000641854,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0.002200192,0,0,0,0,0,0,0
32,0,0,0,0,0.000412443,0,0,0,0,0,0.000688152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000970626,0,0,0,0,0,0,0,0,0,0.000641854,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0,0,0.000609891,0,0,0,0,0
33,0,0,0,0,0.001237328,0,0,0,0,0,0.002064457,0,0,0,0,0,0,0,0,0,0,0,0.001808404,0.001568297,0,0,0,0,0,0,0,0,0,0,0.001925561,0,0,0,0,0,0,0,0,0,0.001262706,0,0,0,0,0,0,0,0.002200192,0,0.001219781,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0.000412443,0,0,0,0,0,0,0,0.001937606,0,0,0,0,0,0,0,0,0,0,0.000784148,0,0,0,0,0,0,0,0,0,0.001296478,0,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0,0.001155125,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0.000412443,0,0,0,0,0,0.000688152,0,0,0,0,0,0,0,0,0,0,0,0,0.000784148,0,0,0,0,0,0,0,0,0,0,0.000641854,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0,0.001155125,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0.000412443,0,0,0,0,0,0.000688152,0,0,0,0,0,0,0,0,0,0,0,0,0.000784148,0,0,0,0,0,0,0,0,0,0,0.000641854,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0,0,0.000609891,0,0,0,0,0
44,0,0,0,0,0.000412443,0,0,0,0,0,0.000688152,0,0,0,0,0,0,0,0,0,0,0,0,0.000784148,0,0,0,0,0,0,0,0,0,0,0.000641854,0,0,0,0,0,0,0,0,0,0.000420902,0,0,0,0,0,0,0,0,0,0.000609891,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
